,insee_code,group
0,01001,3
1,01002,3
2,01004,4
3,01004,4
4,01004,0
5,01004,4
6,01004,2
7,01004,0
8,01004,3
9,01004,3
10,01005,3
11,01006,0
12,01007,0
13,01007,4
14,01008,3
15,01009,0
16,01010,4
17,01011,3
18,01012,0
19,01013,4
20,01014,0
21,01014,3
22,01015,3
23,01015,0
24,01016,3
25,01017,4
26,01019,3
27,01021,3
28,01022,4
29,01023,3
30,01024,3
31,01024,3
32,01025,3
33,01025,3
34,01026,3
35,01027,3
36,01027,4
37,01028,4
38,01029,4
39,01030,3
40,01031,3
41,01031,2
42,01032,3
43,01032,4
44,01033,3
45,01033,0
46,01033,0
47,01033,0
48,01033,3
49,01033,4
50,01033,2
51,01034,3
52,01034,3
53,01034,2
54,01034,3
55,01034,3
56,01034,3
57,01035,4
58,01036,3
59,01037,3
60,01038,3
61,01039,4
62,01040,3
63,01041,4
64,01042,3
65,01043,3
66,01043,1
67,01043,3
68,01044,3
69,01045,3
70,01046,4
71,01047,3
72,01049,3
73,01049,3
74,01050,4
75,01051,0
76,01052,3
77,01053,1
78,01053,1
79,01053,2
80,01053,0
81,01053,2
82,01053,2
83,01053,0
84,01053,0
85,01053,0
86,01053,0
87,01053,2
88,01053,0
89,01053,3
90,01053,0
91,01053,0
92,01053,2
93,01053,0
94,01053,0
95,01053,2
96,01054,3
97,01056,3
98,01057,4
99,01058,3
100,01059,1
101,01060,3
102,01061,4
103,01062,3
104,01063,3
105,01064,4
106,01065,3
107,01065,3
108,01066,4
109,01067,3
110,01068,4
111,01069,3
112,01071,1
113,01071,1
114,01071,3
115,01072,0
116,01072,3
117,01073,3
118,01074,4
119,01075,3
120,01076,4
121,01077,4
122,01078,1
123,01079,0
124,01080,3
125,01080,0
126,01081,3
127,01082,4
128,01083,4
129,01084,3
130,01085,3
131,01087,3
132,01088,4
133,01089,4
134,01090,3
135,01091,4
136,01091,3
137,01091,3
138,01092,4
139,01093,3
140,01093,3
141,01093,3
142,01094,4
143,01095,4
144,01095,3
145,01096,3
146,01097,0
147,01098,3
148,01098,4
149,01099,3
150,01099,4
151,01100,0
152,01101,4
153,01102,4
154,01103,1
155,01104,3
156,01105,3
157,01106,4
158,01107,3
159,01108,3
160,01109,0
161,01110,0
162,01111,0
163,01112,3
164,01113,3
165,01114,3
166,01115,4
167,01116,4
168,01117,4
169,01118,3
170,01121,3
171,01122,3
172,01123,3
173,01124,4
174,01125,4
175,01127,3
176,01128,4
177,01129,4
178,01130,3
179,01133,3
180,01134,3
181,01135,3
182,01136,3
183,01138,0
184,01138,4
185,01139,3
186,01140,3
187,01141,3
188,01142,4
189,01142,4
190,01142,3
191,01143,1
192,01143,1
193,01143,1
194,01143,1
195,01143,1
196,01144,3
197,01145,4
198,01146,3
199,01147,3
