,city_name,group
0,L'Abergement-Clémenciat,3
1,L'Abergement-de-Varey,3
2,Ambérieu-en-Bugey,4
3,Ambérieu-en-Bugey,4
4,Ambérieu-en-Bugey,0
5,Ambérieu-en-Bugey,4
6,Ambérieu-en-Bugey,2
7,Ambérieu-en-Bugey,0
8,Ambérieu-en-Bugey,3
9,Ambérieu-en-Bugey,3
10,Ambérieux-en-Dombes,3
11,Ambléon,0
12,Ambronay,0
13,Ambronay,4
14,Ambutrix,3
15,Andert-et-Condon,0
16,Anglefort,4
17,Apremont,3
18,Aranc,0
19,Arandas,4
20,Arbent,0
21,Arbent,3
22,Arboys en Bugey,3
23,Arboys en Bugey,0
24,Arbigny,3
25,Argis,4
26,Armix,3
27,Ars-sur-Formans,3
28,Artemare,4
29,Asnières-sur-Saône,3
30,Attignat,3
31,Attignat,3
32,Bâgé-la-Ville,3
33,Bâgé-la-Ville,3
34,Bâgé-le-Châtel,3
35,Balan,3
36,Balan,4
37,Baneins,4
38,Beaupont,4
39,Beauregard,3
40,Bellignat,3
41,Bellignat,2
42,Béligneux,3
43,Béligneux,4
44,Bellegarde-sur-Valserine,3
45,Bellegarde-sur-Valserine,0
46,Bellegarde-sur-Valserine,0
47,Bellegarde-sur-Valserine,0
48,Bellegarde-sur-Valserine,3
49,Bellegarde-sur-Valserine,4
50,Bellegarde-sur-Valserine,2
51,Belley,3
52,Belley,3
53,Belley,2
54,Belley,3
55,Belley,3
56,Belley,3
57,Belleydoux,4
58,Belmont-Luthézieu,3
59,Bénonces,3
60,Bény,3
61,Béon,4
62,Béréziat,3
63,Bettant,4
64,Bey,3
65,Beynost,3
66,Beynost,1
67,Beynost,3
68,Billiat,3
69,Birieux,3
70,Biziat,4
71,Blyes,3
72,La Boisse,3
73,La Boisse,3
74,Boissey,4
75,Bolozon,0
76,Bouligneux,3
77,Bourg-en-Bresse,1
78,Bourg-en-Bresse,1
79,Bourg-en-Bresse,2
80,Bourg-en-Bresse,0
81,Bourg-en-Bresse,2
82,Bourg-en-Bresse,2
83,Bourg-en-Bresse,0
84,Bourg-en-Bresse,0
85,Bourg-en-Bresse,0
86,Bourg-en-Bresse,0
87,Bourg-en-Bresse,2
88,Bourg-en-Bresse,0
89,Bourg-en-Bresse,3
90,Bourg-en-Bresse,0
91,Bourg-en-Bresse,0
92,Bourg-en-Bresse,2
93,Bourg-en-Bresse,0
94,Bourg-en-Bresse,0
95,Bourg-en-Bresse,2
96,Bourg-Saint-Christophe,3
97,Boyeux-Saint-Jérôme,3
98,Boz,4
99,Brégnier-Cordon,3
100,Brénaz,1
101,Brénod,3
102,Brens,4
103,Bressolles,3
104,Brion,3
105,Briord,4
106,Buellas,3
107,Buellas,3
108,La Burbanche,4
109,Ceignes,3
110,Cerdon,4
111,Certines,3
112,Cessy,1
113,Cessy,1
114,Cessy,3
115,Ceyzériat,0
116,Ceyzériat,3
117,Ceyzérieu,3
118,Chalamont,4
119,Chaleins,3
120,Chaley,4
121,Challes-la-Montagne,4
122,Challex,1
123,Champagne-en-Valromey,0
124,Champdor-Corcelles,3
125,Champdor-Corcelles,0
126,Champfromier,3
127,Chanay,4
128,Chaneins,4
129,Chanoz-Châtenay,3
130,La Chapelle-du-Châtelard,3
131,Charix,3
132,Charnoz-sur-Ain,4
133,Château-Gaillard,4
134,Châtenay,3
135,Châtillon-en-Michaille,4
136,Châtillon-en-Michaille,3
137,Châtillon-en-Michaille,3
138,Châtillon-la-Palud,4
139,Châtillon-sur-Chalaronne,3
140,Châtillon-sur-Chalaronne,3
141,Châtillon-sur-Chalaronne,3
142,Chavannes-sur-Reyssouze,4
143,Nivigne et Suran,4
144,Nivigne et Suran,3
145,Chaveyriat,3
146,Chavornay,0
147,Chazey-Bons,3
148,Chazey-Bons,4
149,Chazey-sur-Ain,3
150,Chazey-sur-Ain,4
151,Cheignieu-la-Balme,0
152,Chevillard,4
153,Chevroux,4
154,Chevry,1
155,Chézery-Forens,3
156,Civrieux,3
157,Cize,4
158,Cleyzieu,3
159,Coligny,3
160,Collonges,0
161,Colomieu,0
162,Conand,0
163,Condamine,3
164,Condeissiat,3
165,Confort,3
166,Confrançon,4
167,Contrevoz,4
168,Conzieu,4
169,Corbonod,3
170,Corlier,3
171,Cormaranche-en-Bugey,3
172,Cormoranche-sur-Saône,3
173,Cormoz,4
174,Corveissiat,4
175,Courmangoux,3
176,Courtes,4
177,Crans,4
178,Cras-sur-Reyssouze,3
179,Cressin-Rochefort,3
180,Crottet,3
181,Crozet,3
182,Cruzilles-lès-Mépillat,3
183,Culoz,0
184,Culoz,4
185,Curciat-Dongalon,3
186,Curtafond,3
187,Cuzieu,3
188,Dagneux,4
189,Dagneux,4
190,Dagneux,3
191,Divonne-les-Bains,1
192,Divonne-les-Bains,1
193,Divonne-les-Bains,1
194,Divonne-les-Bains,1
195,Divonne-les-Bains,1
196,Dommartin,3
197,Dompierre-sur-Veyle,4
198,Dompierre-sur-Chalaronne,3
199,Domsure,3
200,Dortan,3
201,Douvres,3
202,Drom,0
203,Druillat,3
204,Echallon,3
205,Echenevex,1
206,Etrez,3
207,Evosges,4
208,Faramans,4
209,Fareins,3
