"Libellé","idBank","Période","2017-03","2017-02","2017-01","2016-12","2016-11","2016-10","2016-09","2016-08","2016-07","2016-06","2016-05","2016-04","2016-03","2016-02","2016-01","2015-12","2015-11","2015-10","2015-09","2015-08","2015-07","2015-06","2015-05","2015-04","2015-03","2015-02","2015-01","2014-12","2014-11","2014-10","2014-09","2014-08","2014-07","2014-06","2014-05","2014-04","2014-03","2014-02","2014-01","2013-12","2013-11","2013-10","2013-09","2013-08","2013-07","2013-06","2013-05","2013-04","2013-03","2013-02","2013-01","2012-12","2012-11","2012-10","2012-09","2012-08","2012-07","2012-06","2012-05","2012-04","2012-03","2012-02","2012-01","2011-12","2011-11","2011-10","2011-09","2011-08","2011-07","2011-06","2011-05","2011-04","2011-03","2011-02","2011-01","2010-12","2010-11","2010-10","2010-09","2010-08","2010-07","2010-06","2010-05","2010-04","2010-03","2010-02","2010-01"
"Arrivées dans l'hôtellerie de plein air - Français - Normandie","001739020","","","","","","","","59.03","165.9","144.14","61.79","74.75","","","","","","","","43.74","164.32","142.02","73.24","90.08","","","","","","","","51.81","150.15","120.33","75.2","61.74","","","","","","","","38.16","155.59","120.78","56.06","62.56","","","","","","","","47.73","147.71","104.06","52.51","70.09","","","","","","","","42.29","134.99","125.5","85.91","44.94","","","","","","","","42.14","135.66","136.69","55.52","68.02","","","",""
"Codes","","","","","","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O"
"Nuitées dans l'hôtellerie - Total - Normandie","001739010","","522.74","432.95","371.9","423.1","473.61","681.75","766.22","972.38","900.4","731.38","741.6","604.71","534.51","409.34","342.87","403.48","425.63","612.36","739.41","955.0","892.19","788.18","774.68","658.97","509.04","404.07","351.79","383.77","459.44","639.72","780.51","1013.26","863.85","819.6","737.58","642.34","505.11","395.64","347.99","381.54","478.01","619.93","725.18","1016.07","888.82","794.9","773.76","586.92","539.79","380.89","344.85","391.74","497.35","604.54","777.92","958.25","855.55","770.17","758.52","662.1","547.57","414.08","362.23","385.94","463.91","682.26","756.08","951.7","867.25","844.57","717.81","716.94","501.72","416.41","349.8","349.31","429.02","611.86","765.62","988.16","903.39","775.14","755.69","669.45","492.98","381.8","341.09"
"Codes","","","P","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"Arrivées dans l'hôtellerie de plein air - Total - Basse-Normandie","001711242","","","","","","","","69.84","209.46","194.99","82.93","76.19","","","","","","","","60.38","213.35","202.24","100.42","95.16","","","","","","","","66.89","211.75","191.08","116.85","72.87","","","","","","","","54.49","212.69","186.49","81.0","71.52","","","","","","","","64.15","192.39","161.43","79.66","74.65","","","","","","","","58.2","188.65","185.09","115.81","57.3","","","","","","","","58.9","203.39","204.9","84.34","84.15","","","",""
"Codes","","","","","","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O"
"Nuitées dans l'hôtellerie de plein air - Étrangers - Midi-Pyrénées","001711231","","","","","","","","87.19","530.37","425.32","111.07","46.36","","","","","","","","86.82","436.03","496.43","124.94","48.16","","","","","","","","79.36","455.93","449.46","117.68","46.48","","","","","","","","82.09","466.97","523.92","117.9","47.72","","","","","","","","96.2","489.92","581.89","139.66","52.12","","","","","","","","86.24","522.26","548.85","140.21","58.51","","","","","","","","82.11","478.14","607.5","126.82","60.52","","","",""
"Codes","","","","","","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O"
"Arrivées dans l'hôtellerie de plein air - Total - Grand Est","001739042","","","","","","","","103.58","275.65","247.25","108.01","111.5","","","","","","","","91.02","263.35","264.07","138.17","111.2","","","","","","","","99.87","244.7","227.62","161.27","94.72","","","","","","","","94.58","278.6","276.5","129.39","93.86","","","","","","","","108.09","288.85","260.52","136.71","106.65","","","","","","","","87.1","249.89","260.05","164.02","75.94","","","","","","","","84.24","253.85","276.98","132.94","100.62","","","",""
"Codes","","","","","","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O","O","O","O","A","A","A","A","A","O","O","O","O"
